"Principe actif";"Forme galénique";"Classe ATC";"Libellé ATC3";"Libellé ATC4";"Goût";"Modalités de préparation";"Source des modalités";"Autre source";"Méthode d'administration si médicament écrasé, ouvert ou délité";"Alternatives galéniques";"Informations RCP, notice patient et Thériaque";"Réponses laboratoires résumées";"Date de màj";
"TACROLIMUS 0,5 ; 1, 2 et 5 mg (Adoport, Prograf)";"Gélule";"L04AD02";"Immunosuppresseurs";"Inhibiteurs de la calcineurine";;"O";"RCP";;"E";"Granulés pour suspension buvable";"Si nécessaire le contenu de la gélule peut être dispersé dans de l'eau et administré par sonde naso-gastrique (? PA cytotoxique : protection du manipulateur requise). A prendre à jeun ? 1h avant ou ? 2h après le repas. Eviter le jus de pamplemousse.";;"23/04/2024";
"TACROLIMUS LP 0,5 ; 0,75 ; 1, 2, 3, 4 et 5 mg (Advagraf, Conferoport)";"Gélule LP";"L04AD02";"Immunosuppresseurs";"Inhibiteurs de la calcineurine";;"NO";"RCP";;;"? Non LP ?
Granulés pour suspension buvable";"PA cytotoxique. A prendre à jeun ? 1h avant ou ? 2h après le repas. Eviter le jus de pamplemousse.";;"19/09/2023";
"TADALAFIL 2,5 ; 5, 10 et 20 mg (Adcirca, Cialis)";"Comprimé";"G04BE08";"Autres médicaments urologiques, antispasmodiques inclus";"Médicaments utilisés dans les troubles de l'erection";;"NE";"Notice patient";;;"Non";"A prendre ? 30 min avant l'activité. Eviter le jus de pamplemousse.";;"18/04/2023";
"TAMOXIFENE 10 et 20 mg (Nolvadex)";"Comprimé ou comprimé sécable";"L02BA01";"Antihormones et apparentés";"Anti-oestrogènes";;"NE";"Réponse laboratoire";;;"Non";"PA cytotoxique.";"AstraZeneca 02-10-2020 : écrasement déconseillé car pas d'étude. Photosensible.";"18/04/2023";
"TAMSULOSINE LP 0,4 (Omexel LP, Mecir LP)";"Comprimé LP";"G04CA02";"Médicaments de l'hypertrophie bénigne de la prostate";"Alpha-bloquants";;"NE";"RCP";;;"Non";"A prendre à heure fixe.";"Boehringer Ingelheim 24-02-2022 : cf. RCP";"18/04/2023";
"TAMSULOSINE LP 0,4 (Omix LP)";"Gélule LP";"G04CA02";"Médicaments de l'hypertrophie bénigne de la prostate";"Alpha-bloquants";;"NO";"RCP";;;"Non";"A prendre à heure fixe après un repas consistant, de préférence le matin.";"Astellas Pharma 14-03-2022 : cf. RCP";"18/04/2023";
"TELMISARTAN / HYDROCHLOROTHIAZIDE 40/12,5 ; 80/12,5 et 80/25 mg (Pritorplus)";"Comprimé";"C09DA07";"Antagonistes de l'angiotensine II en associations";"Antagonistes de l'angiotensine II et diurétiques";"G";"NE";"Réponse laboratoire";;;"Non";"A prendre à heure fixe.";"Bayer 21-02-2022 : écrasement déconseillé car photosensible.";"18/04/2023";
"TELMISARTAN 20, 40 et 80 mg (Micardis, Pritor)";"Comprimé";"C09CA07";"Antagonistes de l'angiotensine II non associés";"Antagonistes de l'angiotensine II non associés";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre à heure fixe.";"Boehringer Ingelheim 24-02-2022 : écrasement déconseillé car pas d'étude. Sensible à l'humidité et à l'oxydation.";"18/04/2023";
"TEMOZOLOMIDE 5, 20, 100, 140, 180 et 250 mg (Temodal)";"Gélule";"L01AX03";"Alkylants";"Autres alkylants";;"NO";"RCP";;;"Non";"PA cytotoxique. A prendre à jeun et à distance des repas, de préférence à heure fixe.";;"18/04/2023";
"TENOFOVIR 123, 163, 204 et 245 mg (Viread)";"Comprimé";"J05AF07";"Antiviraux à action directe";"Inhibiteurs de la transcriptase inverse nucléosidique et nucléotidique";;"E";"RCP";;"E, J";"Granulés";"A prendre pendant les repas. Peut être écrasé ou délité dans ? 100 mL d'eau, de jus d'orange ou de raisin pour administration immédiate.";;"18/04/2023";
"TENOXICAM 20 mg (Tilcotil)";"Comprimé sécable";"M01AC02";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Oxicams";;"NE";"RCP";;;"Non";"A prendre pendant les repas.";"Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"TERBINAFINE 250 mg (Lamisil)";"Comprimé sécable";"D01BA02";"Antifongiques à usage systémique ";"Antifongiques à usage systémique";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre à heure fixe, de préférence pendant les repas.";"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"TERTATOLOL 5 mg (Artex)";"Comprimé sécable";"C07AA16";"Bêta-bloquants";"Bêta-bloquants non sélectifs";;"NE";"Réponse laboratoire";;;"Non";"A prendre le matin.";"Servier 28-02-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"THALIDOMIDE 50 mg (génériques)";"Gélule";"L04AX02";"Immunosuppresseurs";"Autres immunosuppresseurs";;"NO";"RCP";;;"Non";"PA cytotoxique et tératogène. A prendre de préférence le soir.";"Bristol Myers Squibb 28-02-2022 : cf. RCP";"18/04/2023";
"THEOPHYLLINE LP 50, 100, 200 et 300 mg (Dilatrane LP)";"Gélule LP";"R03DA04";"Autres médicaments systémiques pour les syndromes obstructifs des voies respiratoires";"Xanthines";;"NO";"RCP";;;"Sirop";;;"18/04/2023";
"THIAMINE 250 mg (Benerva)";"Comprimé";"A11DA01";"Vitamine B1 associée ou non avec les vitamines B6 et/ou B12";"Vitamine B1, non associée";;"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Non";;;"19/09/2023";
"THIAMAZOL 5, 10, 20 mg (Thyrozol)";"Comprimé";"H03BB02";"Préparations antithyroïdienne";"Dérivé de l'imidazole contenant du soufre";;"E";"Réponse laboratoire";;;"Non";;"Merck 07-05-2025 : écrasement possible, pas d'étude de stabilité, à boire immédiatement";"12/05/2025";
"THIOCOLCHICOSIDE 4 mg (génériques)";"Comprimé";"M03BX05";"Myorelaxants à action centrale";"Autres myorelaxants à action centrale";;"NE";"Réponse laboratoire";;;"Non";;"Arrow 15-03-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"THIOCOLCHICOSIDE 4 mg (Miorel)";"Gélule";"M03BX05";"Myorelaxants à action centrale";"Autres myorelaxants à action centrale";;"NO";"Réponse laboratoire";;;"Non";;"DB Pharma 21-02-2022 : ouverture déconseillée car pas d'étude";"18/04/2023";
"THIOGUANINE 40 mg (Lanvis)";"Comprimé sécable";"L01BB03";"Antimétabolites";"Analogues de la purine";;"NE";"Réponse laboratoire";;;"Non";"PA cytotoxique.";"ASPEN Pharma 22-02-2022 : des protocoles existent pour réaliser des solutions à partir des comprimés, en suivant les précautions d'usage de manipulation des produits cytotoxiques.";"18/04/2023";
"TIANEPTINE 12,5 mg (Stablon)";"Comprimé";"N06AX14";"Antidépresseurs";"Autres antidépresseurs";;"NE";"Réponse laboratoire";;;"Non";"A prendre au début des repas.";"Servier 28-02-2022 : broyage déconseillé car pas d'étude";"18/04/2023";
"TIAPRIDE 100 mg (Tiapridal)";"Comprimé sécable";"N05AL03";"Antipsychotiques";"Benzamides";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Solution buvable";;"Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude";"18/04/2023";
"TICAGRELOR 90 mg (Brilique)";"Comprimé";"B01AC24";"Antithrombotiques";"Inhibiteurs de l'agrégation plaquettaire sauf héparines";;"E";"RCP";;"E, V";"Comprimés orodispersibles";"Peut être écrasé et mélangé à ½ verre d'eau et bu immédiatement. Eviter le jus de pamplemousse.";;"18/04/2023";
"TICLOPIDINE 250 mg (Ticlid)";"Comprimé";"B01AC05";"Antithrombotiques";"Inhibiteurs de l'agrégation plaquettaire sauf héparines";;"NE";"Réponse laboratoire";;;"Non";"A prendre de préférence pendant les repas.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"TIPRANAVIR 250 mg (Aptivus)";"Capsule molle";"J05AE09";"Antiviraux à action directe";"Inhibiteurs de protéase";;"NO";"RCP";;;"Non";"A prendre pendant les repas.";"Boehringer Ingelheim 24-02-2022 : cf. RCP";"18/04/2023";
"TOLVAPTAN 15, 30, 60, 90 et 120 mg (Jinarc)";"Comprimé";"C03XA01";"Autres diurétiques";"Antagonistes de la vasopressine";;"NE";"RCP";;;"Non";"La 1ère dose (la plus forte) est à prendre le matin ? 30 min avant le repas. La 2ème dose peut être prise pendant ou en dehors des repas. Eviter le jus de pamplemousse.";;"18/04/2023";
"TOPIRAMATE 15, 25 et 50 mg (Epitomax)";"Gélule";"N03AX11";"Antiépileptiques";"Autres antiépileptiques";"G";"O";"RCP";;"C, Y, V";"Non";"Peut être ouvert et réparti sur une cuillère à café de nourriture semi-solide de n'importe quel type. Administration immédiate. Goût amer.";;"18/04/2023";
"TOPIRAMATE 25, 50, 100 et 200 mg (Epitomax)";"Comprimé";"N03AX11";"Antiépileptiques";"Autres antiépileptiques";"G";"NE";"RCP";;;"Gélules ouvrables";"Goût amer.";;"18/04/2023";
"TRAMADOL 50 mg (Contramal, Topalgic)";"Gélule";"N02AX02";"Opioïdes";"Autres opioïdes";"G";"NO";"Réponse laboratoire";;;"Comprimés effervescents, comprimés orodispersibles, solution buvable";;"Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude";"18/04/2023";
"TRAMADOL 50 mg (Topalgic)";"Comprimé";"N02AX02";"Opioïdes";"Autres opioïdes";"G";"NE";"Réponse laboratoire";;;"Comprimés effervescents, comprimés orodispersibles, solution buvable";;"Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude";"19/09/2023";
"TRAMADOL LP 50, 100, 150 et 200 mg (Zamudol LP)";"Gélule LP";"N02AX02";"Opioïdes";"Autres opioïdes";"G";"O, NE";"RCP";;"E";"Pas d'équivalent LP";"Peut être ouvert dans une cuillère. A avaler à l'aide d'un verre d'eau.";;"18/04/2023";
"TRAMADOL LP 50, 100, 150, 200 et 300 mg (Contramal LP, Monoalgic LP, Topalgic LP)";"Comprimé LP";"N02AX02";"Opioïdes";"Autres opioïdes";"G";"NE";"RCP";;;"Gélules LP ouvrables";;;"18/04/2023";
"TRANDOLAPRIL / VERAPAMIL LP 180/2, 240/2 et 240/4 mg (Tarka LP)";"Comprimé LP";"C09BB10";"Inhibiteurs de l'enzyme de conversion de l'angiotensine en associations";"Inhibiteurs de l'enzyme de conversion et inhibiteurs des canaux calciques";;"NE";"Galénique";;;"Non";"A prendre le matin de préférence à heure fixe, environ 30 min avant le repas. Eviter le jus de pamplemousse.";"Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"TRANDOLAPRIL 0,5 ; 2 et 4 mg (Odrik)";"Gélule";"C09AA10";"Inhibiteurs de l'enzyme de conversion de l'angiotensine (IEC), sauf associations";"Inhibiteurs de l'enzyme de conversion de l'angiotensine sans association";;"O";"Réponse laboratoire";;"E";"Non";"Les gélules seront avalées avec une quantité suffisante de liquide (1/2 à 1 verre d'eau). ";"Viatris 17-02-2023 : Les gélules peuvent être ouvertes. ";"18/04/2023";
"TRIAMTERENE / HYDROCHLOROTHIAZIDE 50/25 mg (Prestole)";"Gélule";"C03EA01";"Diurétiques et épargneurs potassiques en association";"Diurétiques low-ceiling et épargneurs potassiques";"G";"?";;;;"Non";"A prendre le matin.";"En attente (Almirall)";"18/04/2023";
"TRICLABENDAZOLE 250 mg (Egaten)";"Comprimé sécable";"P02BX04";"Antitrématodes";"Autres antitrématodes";;"E";"Notice patient";;"C, Y";"Non";"A prendre de préférence pendant ou après un repas. Peut être écrasé et mélangé à de la nourriture semi-solide.";"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"TRIHEXYPHENIDYLE 2 et 5 mg (Artane)";"Comprimé";"N04AA01";"Anticholinergiques";"Amines tertiaires";;"NE";"Réponse laboratoire";;;"Solution buvable";;"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"19/09/2023";
"TRIHEXYPHENIDYLE LP 2 et 5 mg (Parkinane LP)";"Gélule LP";"N04AA01";"Anticholinergiques";"Amines tertiaires";;"NO";"Thériaque 03/2023";;;"? Non LP ?
Solution buvable";;;"18/04/2023";
"TRIMEBUTINE 100 et 200 mg (Debridat)";"Comprimé";"A03AA05";"Médicaments en cas de troubles fonctionnels gastro-intestinaux";"Anticholinergiques synthétiques, esters d'amines tertiaires";;"NE";"Réponse laboratoire";;;;;"Pfizer 14-03-2023 : écrasement déconseillé car pas d'étude.";"19/09/2023";
"TRIMETAZIDINE 20 mg (Vastarel)";"Comprimé";"C01EB15";"Autres médicaments pour le cœur";"Autres médicaments pour le cœur";;"NE";"Réponse laboratoire";;;"Non";"A prendre pendant les repas.";"Servier 28-02-2022 : broyage déconseillé car pas d'étude";"18/04/2023";
"TRIMETAZIDINE LM 35 mg (Vastarel LM)";"Comprimé LM";"C01EB15";"Autres médicaments pour le cœur";"Autres médicaments pour le cœur";;"NE";"Galénique";;;"Non";"A prendre pendant les repas.";"Servier 28-02-2022 : non écrasable car forme à libération modifiée";"18/04/2023";
"TRIMIPRAMINE 25 et 100 mg (Surmontil)";"Comprimé ou comprimé sécable";"N06AA06";"Antidépresseurs";"Inhibiteurs non-sélectifs de la recapture des monoamines";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Solution buvable";"A prendre de préférence le soir.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"TROPATEPINE 10 mg (Lepticur)";"Comprimé";"N04AA12";"Anticholinergiques";"Amines tertiaires";"G";"E";"Réponse laboratoire";;"E";"Non";;"Laboratoires Delbert 14-03-2022 : écrasement déconseillé car pas d'étude, mais possible en cas de nécessité uniquement.";"18/04/2023";
"TROSPIUM 20 mg (Ceris)";"Comprimé";"G04BD09";"Autres médicaments urologiques, antispasmodiques inclus";"Antispasmodiques urinaires";;"NE";"RCP";;;"Non";"A prendre à jeun avant un repas.";;"18/04/2023";
"URAPIDIL LP 30 et 60 mg (Eupressyl LP)";"Gélule LP";"C02CA06";"Antiagrénergiques agissant en périphérie";"Alpha-bloquants";;"O";"Réponse laboratoire";;;"Non";"A prendre pendant les repas matin et soir.";"Cheplapharm 14-03-2022 : Il est peu probable que l'ouverture de la gélule ait des effets indésirables. Il est cependant essentiel de veiller à ne pas endommager les microgtranules qui assurent la LP";"19/09/2023";
"VALACICLOVIR 500 mg (Zelitrex)";"Comprimé";"J05AB11";"Antiviraux à action directe";"Nucléosides et nucléotides sauf inhibiteurs de la transcriptase inverse ";;"NE";"Notice patient";;;"Non";;"GSK 02-10-2020 : écrasement déconseillé car pas d'étude";"18/04/2023";
"VALGANCICLOVIR 450 mg (Rovalcyte)";"Comprimé";"J05AB14";"Antiviraux à action directe";"Nucléosides et nucléotides sauf inhibiteurs de la transcriptase inverse ";;"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Poudre pour suspension buvable";"PA cytotoxique. A prendre pendant les repas. ";;"18/04/2023";
"VALPROATE 200, 250 et 500 mg (Depakine)";"Comprimé GR";"N03AG01";"Antiépileptiques";"Dérivés d'acides gras";;"NE";"Notice patient";;;"Solution buvable, sirop";;;"18/04/2023";
"VALPROATE LP 100, 250, 500, 750 et 1000 mg (Micropakine LP)";"Granulés LP";"N03AG01";"Antiépileptiques";"Dérivés d'acides gras";;"NE";"RCP";;"E, J, L, C, Y, V";"? Non LP ?
Solution buvable, sirop";"A saupoudrer sur un aliment mou ou une boisson, froid ou à température ambiante (yaourt, jus d’orange, compote…). Administration immédiate. A prendre de préférence au cours des repas.";;"18/04/2023";
"VALPROATE LP 500 mg (Depakine chrono)";"Comprimé LP";"N03AG01";"Antiépileptiques";"Dérivés d'acides gras";;"NE";"RCP";;;"Granulés LP";"A prendre de préférence au cours des repas.";;"18/04/2023";
"VALPROMIDE 300 mg (Depamide)";"Comprimé GR";"N03AG02";"Thymorégulateur";"Dérivés d'acides gras";;"NE";"Notice patient";;;"Non";;"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"VALSARTAN / HYDROCHLOROTHIAZIDE 80/12,5 ; 160/12,5 et 160/25 mg (Cotareg)";"Comprimé";"C09DA03";"Antagonistes de l'angiotensine II en associations";"Antagonistes de l'angiotensine II et diurétiques";;"?";;;;"Non";"A prendre à heure fixe, de préférence le matin.";"En attente (Biogaran)";"18/04/2023";
"VALSARTAN 40, 80 et 160 mg (Tareg)";"Comprimé ou comprimé sécable";"C09CA03";"Antagonistes de l'angiotensine II non associés";"Antagonistes de l'angiotensine II non associés";;"?";;;;"Solution buvable";"A prendre à heure fixe.";"En attente (Biogaran)";"18/04/2023";
"VENLAFAXINE 50 mg (génériques)";"Comprimé";"N06AX16";"Antidépresseurs";"Autres antidépresseurs";;"NE";"Thériaque 03/2023";"Ecrasable selon HUG 03/2023";;"Non";;"Viatris 28-03-2024 : écrasement déconseillé car pas d'étude";"28/03/2024";
"VENLAFAXINE LP 150 et 225 mg (génériques)";"Comprimé LP";"N06AX16";"Antidépresseurs";"Autres antidépresseurs";;"NE";"RCP";;;"Non";"A prendre de préférence pendant les repas.";;"18/04/2023";
"VENLAFAXINE LP 37,5 ; 75 et 150 mg (Effexor LP)";"Gélule LP";"N06AX16";"Antidépresseurs";"Autres antidépresseurs";;"NO";"RCP";"Ouvrable selon laboratoire";"C, V";"Comprimés LP";"A prendre à heure fixe pendant les repas.";"Pfizer 04-08-2020 : la gélule n'est qu'un excipient. Une étude interne montre la possibilité de mélanger les microgranules à une compote, à avaler immédiatement.";"18/04/2023";
"VERAPAMIL 120 mg (Isoptine)";"Gélule";"C08DA01";"Inhibiteurs calciques cardiosélectifs";"Dérivés de la phénylalkylamine";"G";"NO";"RCP";;;"Non";"A prendre pendant les repas. Eviter le jus de pamplemousse.";"Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"VERAPAMIL 40 et 120 mg (Isoptine)";"Comprimé";"C08DA01";"Inhibiteurs calciques cardiosélectifs";"Dérivés de la phénylalkylamine";"G";"NE";"Réponse laboratoire";;;"Non";"A prendre pendant les repas. Eviter le jus de pamplemousse.";"Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"VERAPAMIL LP 240 mg (génériques)";"Gélule LP";"C08DA01";"Inhibiteurs calciques cardiosélectifs";"Dérivés de la phénylalkylamine";;"NO";"Réponse laboratoire";;;"Non";"A prendre de préférence pendant les repas. Eviter le jus de pamplemousse.";"Teva 01-03-2022 : ouverture déconseillée car pas d'étude. Sensible à l'humidité.";"18/04/2023";
"VERAPAMIL LP 240 mg (Isoptine LP)";"Comprimé sécable LP";"C08DA01";"Inhibiteurs calciques cardiosélectifs";"Dérivés de la phénylalkylamine";;"NE";"RCP";;;"Non";"A prendre de préférence pendant les repas. Eviter le jus de pamplemousse.";"Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"VIGABATRINE 500 mg (Sabril)";"Comprimé sécable";"N03AG04";"Antiépileptiques";"Dérivés d'acides gras";;"NE";"Réponse laboratoire";;;"Granulés pour solution buvable";"A prendre avant ou après les repas.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"VILDAGLIPTINE 50 mg (Galvus)";"Comprimé";"A10BH02";"Hypoglycémiants autres que les insulines";"Inhibiteurs de la dipeptidyl peptidase-4 (DPP-4)";;"NE";"RCP";;;"Non";;"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"VINORELBINE 20 et 30 mg (Navelbine)";"Capsule molle";"L01CA04";"Alcaloïdes végétaux et autres produits d'origine naturelle";"Vinca-alcaloïdes et analogues";;"NO";"RCP";;;"Non";"PA cytotoxique. A prendre de préférence en fin d'un repas léger ou d'une collation. Ne pas prendre avec une boisson gazeuse.";"Pierre Fabre 21-02-2022 : PA irritant";"18/04/2023";
"VORASIDENIB 10 et 40mg (génériques)";"Comprimé";"L01XM04";"Autres antineoplasiques";"Inhibiteurs de l'isocitrate déshydrogénase (IDH)";;;"Réponse laboratoire";;;"Non";"A prendre à heure fixe, 2h avant un repas ou 1h après.";"Servier 03-06-2025: pas de données pour écraser/diluer dans l'eau ni pour l'administration par sonde nasogastrique";"04/06/2025";
"VORICONAZOLE 50 et 200 mg (Vfend)";"Comprimé";"J02AC03";"Antimycosiques à usage systémique";"Dérivés triazolés";;"NE";"Notice patient";;;"Suspension buvable";"A prendre ? 1h avant ou après un repas.";;"18/04/2023";
"VORTIOXETINE 5, 10, 15 et 20mg (Brintellix)";"Comprimé";"N06AX26";"Antidépresseurs";"Autres antidépresseurs";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;;"A prendre avec ou sans aliments. ";"Lundbeck 06-12-2023 : écrasement déconseillé car pas d'étude";"06/12/2023";
"WARFARINE 2 et 5 mg (Coumadine)";"Comprimé sécable";"B01AA03";"Antithrombotiques";"Antivitamines K";;"E";"Réponse laboratoire";;"E";"Suspension buvable (AAC)";"A prendre à heure fixe, de préférence le soir.";"BMS 19-08-2020 : 2 études mentionnent la stabilité de la Coumadine écrasée en suspension.";"18/04/2023";
